Salon_BusinessID,Permit_Number,SalonName,Salon St No,SalonStName,Salon St Ext,Salon Neighborhood,Salon State,Salon Zip,Salon Closed,Services Nails,Services Tanning,Services Hair,Services Spa,Services Wax,Services Other,Number Tables,Number Baths,Salon_First_Visit,Salon_Last_Visit,Permit Start,Permit End,Application Date,Application Type,Previous Permit,Permit_Use and Occupancy,Permit_Flammable Storage,Permit_Salon BOC License,Permit_Cosmetologist Licenses,Permit_Ventilation,Permit_Work with BPHC,Permit Fee,Date Passed Inspection
858,2013N-00155,DJ Nails,1194,Blue Hill,AV,Mattapan,MA,2126,0,1,0,0,0,0,,6,4,11/17/2011 12:00:00 AM,,11/17/2013 12:00:00 AM,11/17/2014 12:00:00 AM,11/11/2013 12:00:00 AM,Renewal,032195,1,1,1,1,1,0,220,11/20/2012 12:00:00 AM
858,2014N-00168,DJ Nails,1194,Blue Hill,AV,Mattapan,MA,2126,0,1,0,0,0,0,,6,4,11/17/2011 12:00:00 AM,,11/18/2014 12:00:00 AM,11/18/2015 12:00:00 AM,11/13/2014 12:00:00 AM,Renewal,2013N-00155,0,0,1,0,0,0,220,
860,2012N-00025,Spicy Nails,1509,Blue Hill,AV,Mattapan,MA,2126,0,1,0,0,0,1,,3,3,03/28/2012 12:00:00 AM,03/20/2013 12:00:00 AM,03/26/2012 12:00:00 AM,03/26/2013 12:00:00 AM,03/05/2012 12:00:00 AM,New,2012N-00025,1,1,1,1,1,0,140,03/20/2013 12:00:00 AM
860,2013N-00040,Spicy Nails,1509,Blue Hill,AV,Mattapan,MA,2126,0,1,0,0,0,1,,4,3,03/28/2012 12:00:00 AM,03/20/2013 12:00:00 AM,03/27/2013 12:00:00 AM,03/27/2014 12:00:00 AM,03/18/2013 12:00:00 AM,Renewal,,0,1,1,1,0,0,160,03/20/2013 12:00:00 AM
860,2014N-00048,Spicy Nails,1509,Blue Hill,AV,Mattapan,MA,2126,0,1,0,0,0,1,,6,4,03/28/2012 12:00:00 AM,03/20/2013 12:00:00 AM,03/28/2014 12:00:00 AM,03/28/2015 12:00:00 AM,03/07/2014 12:00:00 AM,Renewal,2013N-00040,1,1,1,1,1,0,220,03/20/2013 12:00:00 AM
861,2012N-00141,Lisa Nail Design,1191,Blue Hill,AV,Mattapan,MA,2126,0,1,0,0,0,0,,1,0,,,12/13/2012 12:00:00 AM,12/13/2013 12:00:00 AM,07/06/2012 12:00:00 AM,New,,1,1,1,1,1,0,100,12/12/2012 12:00:00 AM
861,2013N-00162,Lisa Nail Design,1191,Blue Hill,AV,Mattapan,MA,2126,0,1,0,0,0,0,,2,0,,,11/20/2013 12:00:00 AM,11/20/2014 12:00:00 AM,11/20/2013 12:00:00 AM,Renewal,,1,1,1,1,1,0,100,01/16/2014 12:00:00 AM
861,2014N-00180,Lisa Nail Design,1191,Blue Hill,AV,Mattapan,MA,2126,0,1,0,0,0,0,,1,1,,,11/21/2014 12:00:00 AM,11/21/2015 12:00:00 AM,12/16/2014 12:00:00 AM,Renewal,2013N-00163,0,0,1,1,0,0,100,
862,2012N-00054,Z'Nails And Spa,1609,Blue Hill,AV,Mattapan,MA,2126,0,1,0,0,0,1,,10,10,08/06/2012 12:00:00 AM,08/07/2013 12:00:00 AM,08/06/2012 12:00:00 AM,08/06/2013 12:00:00 AM,07/09/2012 12:00:00 AM,New,2012N-00054,1,1,0,1,1,0,420,08/07/2013 12:00:00 AM
862,2013N-00093,Z'Nails And Spa,1609,Blue Hill,AV,Mattapan,MA,2126,0,1,0,0,0,1,,10,10,08/06/2012 12:00:00 AM,08/07/2013 12:00:00 AM,08/07/2013 12:00:00 AM,08/07/2014 12:00:00 AM,07/31/2013 12:00:00 AM,Renewal,2012N-00054,1,1,1,1,1,0,420,08/07/2013 12:00:00 AM
862,2014N-00101,Z'Nails And Spa,1609,Blue Hill,AV,Mattapan,MA,2126,0,1,0,0,0,1,,10,10,08/06/2012 12:00:00 AM,08/07/2013 12:00:00 AM,08/08/2014 12:00:00 AM,08/08/2015 12:00:00 AM,07/22/2014 12:00:00 AM,Renewal,2013N-00093,0,0,1,1,0,0,420,
863,2013N-00095,"ManiQ & Spa, Inc.",11,Granite,AV,South Dorchester,MA,2124,0,1,0,0,0,1,,7,10,,,08/14/2013 12:00:00 AM,08/14/2014 12:00:00 AM,08/01/2013 12:00:00 AM,Renewal,2012N-00083,1,1,1,1,1,0,360,10/02/2012 12:00:00 AM
